Domain,Phylum,Sheet
d__Archaea,p__Aenigmatarchaeota,0.32778448
d__Archaea,p__Altarchaeota,0.332490189
d__Archaea,p__Archaea phylum incertae sedis,0.292833135
d__Archaea,p__Asgardarchaeota,0.331816841
d__Archaea,p__Candidatus Diapherotrites,0.26
d__Archaea,p__Crenarchaeota,0.358385028
d__Archaea,p__EX4484-52,0.346436572
d__Archaea,p__Euryarchaeota,0.322399036
d__Archaea,p__Hadarchaeota,0.3224396
d__Archaea,p__Halobacteriota,0.309479222
d__Archaea,p__Huberarchaeota,0.341182983
d__Archaea,p__Hydrothermarchaeota,0.326898081
d__Archaea,p__Iainarchaeota,0.324472261
d__Archaea,p__Methanobacteriota,0.348286652
d__Archaea,p__Micrarchaeota,0.316665015
d__Archaea,p__Nanoarchaeota,0.324695467
d__Archaea,p__Nanohaloarchaeota,0.300860464
d__Archaea,p__PWEA01,0.334705276
d__Archaea,p__QMZS01,0.352672278
d__Archaea,p__Thaumarchaeota,0.308443767
d__Archaea,p__Thermoplasmatota,0.312962295
d__Archaea,p__Thermoproteota,0.326626563
d__Archaea,p__Undinarchaeota,0.310318959
d__Bacteria,p__4572-55,0.311991012
d__Bacteria,p__AABM5-125-24,0.307022014
d__Bacteria,p__ARS69,0.276186675
d__Bacteria,p__Abyssubacteria,0.302820162
d__Bacteria,p__Acidobacteria,0.301667755
d__Bacteria,p__Acidobacteriota,0.290469488
d__Bacteria,p__Actinobacteria,0.270933827
d__Bacteria,p__Actinobacteriota,0.278642832
d__Bacteria,p__Aerophobota,0.325728311
d__Bacteria,p__Aquificae,0.340755934
d__Bacteria,p__Aquificota,0.336101119
d__Bacteria,p__Armatimonadetes,0.303836921
d__Bacteria,p__Armatimonadota,0.291134962
d__Bacteria,p__Aureabacteria,0.305584161
d__Bacteria,p__B130-G9,0.312274772
d__Bacteria,p__B64-G9,0.282875325
d__Bacteria,p__BMS3Abin14,0.306866464
d__Bacteria,p__Bacteria phylum ,0.337598239
d__Bacteria,p__Bacteria phylum incertae sedis,0.346744003
d__Bacteria,p__Bacteroidetes,0.349757925
d__Bacteria,p__Bacteroidota,0.333402548
d__Bacteria,p__Balneolaeota,0.406377672
d__Bacteria,p__Bdellovibrionota,0.318545317
d__Bacteria,p__Bdellovibrionota_C,0.311050969
d__Bacteria,p__Bdellovibrionota_D,0.293516884
d__Bacteria,p__Bipolaricaulota,0.301530987
d__Bacteria,p__CG03,0.322918294
d__Bacteria,p__CG2-30-53-67,0.30959293
d__Bacteria,p__CG2-30-70-394,0.280666289
d__Bacteria,p__CSP1-3,0.286772068
d__Bacteria,p__CSSED10-310,0.302017553
d__Bacteria,p__Caldatribacteriota,0.333898749
d__Bacteria,p__Caldiserica,0.32633729
d__Bacteria,p__Caldisericota,0.324616828
d__Bacteria,p__Calditrichaeota,0.320796473
d__Bacteria,p__Calditrichota,0.330403058
d__Bacteria,p__Calescibacterota,0.334912032
d__Bacteria,p__Campylobacterota,0.339686519
d__Bacteria,p__Candidatus Kryptonia,0.338409085
d__Bacteria,p__Candidatus Latescibacteria,0.299438005
d__Bacteria,p__Candidatus Microgenomates,0.277777778
d__Bacteria,p__Chlamydiae,0.324851431
d__Bacteria,p__Chlorobi,0.312080072
d__Bacteria,p__Chloroflexi,0.332018863
d__Bacteria,p__Chloroflexota,0.300653267
d__Bacteria,p__Chrysiogenetes,0.263513687
d__Bacteria,p__Chrysiogenetota,0.307744186
d__Bacteria,p__Cloacimonadota,0.338333779
d__Bacteria,p__Coprothermobacterota,0.332794471
d__Bacteria,p__Cyanobacteria,0.315582115
d__Bacteria,p__DTU030,0.316446471
d__Bacteria,p__Deferribacteres,0.279811897
d__Bacteria,p__Deferribacterota,0.339531668
d__Bacteria,p__Deinococcota,0.291359324
d__Bacteria,p__Deinococcus-Thermus,0.307138926
d__Bacteria,p__Delongbacteria,0.333762532
d__Bacteria,p__Dependentiae,0.322724862
d__Bacteria,p__Desantisbacteria,0.326480007
d__Bacteria,p__Desulfobacterota,0.305799761
d__Bacteria,p__Desulfobacterota_B,0.28899244
d__Bacteria,p__Desulfobacterota_C,0.293759746
d__Bacteria,p__Desulfobacterota_D,0.330166981
d__Bacteria,p__Dictyoglomi,0.356933461
d__Bacteria,p__Dictyoglomota,0.34505883
d__Bacteria,p__Dormibacterota,0.281172149
d__Bacteria,p__Edwardsbacteria,0.304244182
d__Bacteria,p__Eisenbacteria,0.271002589
d__Bacteria,p__Elusimicrobiota,0.307805105
d__Bacteria,p__Eremiobacterota,0.285704994
d__Bacteria,p__FCPU426,0.310225294
d__Bacteria,p__FEN-1099,0.292218454
d__Bacteria,p__Fermentibacterota,0.301722543
d__Bacteria,p__Fibrobacteres,0.317430381
d__Bacteria,p__Fibrobacterota,0.317531138
d__Bacteria,p__Firestonebacteria,0.32967072
d__Bacteria,p__Firmicutes,0.339293656
d__Bacteria,p__Firmicutes_A,0.314289302
d__Bacteria,p__Firmicutes_B,0.320021666
d__Bacteria,p__Firmicutes_C,0.317269662
d__Bacteria,p__Firmicutes_D,0.320134833
d__Bacteria,p__Firmicutes_E,0.298163464
d__Bacteria,p__Firmicutes_F,0.32234121
d__Bacteria,p__Firmicutes_G,0.30998256
d__Bacteria,p__Fusobacteria,0.360966091
d__Bacteria,p__Fusobacteriota,0.350543954
d__Bacteria,p__GCA-001730085,0.345680245
d__Bacteria,p__Gemmatimonadetes,0.251558175
d__Bacteria,p__Gemmatimonadota,0.277854996
d__Bacteria,p__Gemmatimonadota_A,0.289068688
d__Bacteria,p__Goldbacteria,0.335845633
d__Bacteria,p__Hydrogenedentota,0.292836886
d__Bacteria,p__Ignavibacteriae,0.433047228
d__Bacteria,p__J088,0.293178497
d__Bacteria,p__KSB1,0.317253597
d__Bacteria,p__Kiritimatiellaeota,0.242045455
d__Bacteria,p__Krumholzibacteriota,0.287328078
d__Bacteria,p__Latescibacterota,0.300989347
d__Bacteria,p__Lentisphaerae,0.244072351
d__Bacteria,p__Lindowbacteria,0.309427287
d__Bacteria,p__Margulisbacteria,0.322818469
d__Bacteria,p__Marinisomatota,0.341262416
d__Bacteria,p__Methylomirabilota,0.277438328
d__Bacteria,p__Moduliflexota,0.309172833
d__Bacteria,p__Muirbacteria,0.327684816
d__Bacteria,p__Myxococcota,0.274328734
d__Bacteria,p__Myxococcota_A,0.281844605
d__Bacteria,p__Myxococcota_B,0.304292653
d__Bacteria,p__NPL-UPA2,0.324259144
d__Bacteria,p__Nitrospinae,0.346666667
d__Bacteria,p__Nitrospinota,0.321804803
d__Bacteria,p__Nitrospinota_A,0.294075231
d__Bacteria,p__Nitrospinota_B,0.320751169
d__Bacteria,p__Nitrospirae,0.301553642
d__Bacteria,p__Nitrospirota,0.300144889
d__Bacteria,p__OLB16,0.298249491
d__Bacteria,p__Omnitrophota,0.32622219
d__Bacteria,p__Patescibacteria,0.327324404
d__Bacteria,p__Planctomycetes,0.286768975
d__Bacteria,p__Planctomycetota,0.291705512
d__Bacteria,p__Poribacteria,0.315585591
d__Bacteria,p__Proteobacteria,0.291504112
d__Bacteria,p__RBG-13-66-14,0.30563772
d__Bacteria,p__RUG730,0.360345536
d__Bacteria,p__Riflebacteria,0.317997952
d__Bacteria,p__SAR324,0.314155777
d__Bacteria,p__SLNR01,0.313902349
d__Bacteria,p__SM23-31,0.317944104
d__Bacteria,p__SURF-8,0.288739706
d__Bacteria,p__SZUA-182,0.306115502
d__Bacteria,p__SZUA-79,0.324883147
d__Bacteria,p__Schekmanbacteria,0.3210938
d__Bacteria,p__Spirochaetes,0.34089808
d__Bacteria,p__Spirochaetota,0.315266905
d__Bacteria,p__Sumerlaeota,0.293038754
d__Bacteria,p__Synergistetes,0.307826822
d__Bacteria,p__Synergistota,0.30066929
d__Bacteria,p__T1SED10-198M,0.312010908
d__Bacteria,p__TA06,0.294536126
d__Bacteria,p__TA06_A,0.313306923
d__Bacteria,p__Tectomicrobia,0.291578014
d__Bacteria,p__Tenericutes,0.340667298
d__Bacteria,p__Thermodesulfobacteria,0.325411001
d__Bacteria,p__Thermodesulfobiota,0.333237249
d__Bacteria,p__Thermosulfidibacterota,0.31949285
d__Bacteria,p__Thermotogae,0.35490497
d__Bacteria,p__Thermotogota,0.335891264
d__Bacteria,p__UBA10199,0.313528112
d__Bacteria,p__UBA2233,0.312369994
d__Bacteria,p__UBA3054,0.302038731
d__Bacteria,p__UBA6262,0.326544768
d__Bacteria,p__UBA9089,0.32980209
d__Bacteria,p__UBP13,0.304804051
d__Bacteria,p__UBP14,0.33063281
d__Bacteria,p__UBP15,0.304667772
d__Bacteria,p__UBP17,0.32298105
d__Bacteria,p__UBP18,0.318973642
d__Bacteria,p__UBP4,0.313988884
d__Bacteria,p__UBP6,0.322545015
d__Bacteria,p__UBP7,0.330141733
d__Bacteria,p__UBP7_A,0.303107259
d__Bacteria,p__Verrucomicrobia,0.29039244
d__Bacteria,p__Verrucomicrobiota,0.295074655
d__Bacteria,p__Verrucomicrobiota_A,0.307146304
d__Bacteria,p__WOR-3,0.313328076
d__Bacteria,p__Wallbacteria,0.341075002
d__Bacteria,p__Zixibacteria,0.316849591
